id,author,title,journal_book,year,type,doi,link,
14,"Krylov, A.V., Sharov, A.N., Anufrieva, T.N., Sabitova, R.Z., Chalova, I.V., Gladyshev, M.I.",Impact of Gooselike Birds on Phyto-and Zooplankton of Lakes in the Taimyr Peninsula,Contemporary Problems of Ecology,2024,journal,10.1134/S1995425524700525,https://doi.org/10.1134/S1995425524700525,
14,"Adhurya, S., Gayen, D., Das, S., Ray, S.","Diversity and population trends of waterbirds at Lake-2, the Ballavpur Wildlife Sanctuary, West Bengal State, India",Journal of Animal Diversity,2022,journal,10.52547/JAD.2022.4.1.5,https://doi.org/10.52547/JAD.2022.4.1.5,
14,"Martins, H.L., Panarelli, E.A., Borges, J.S., Korasaki, V., Millan, R.N.",Shallow reservoirs in urban perimeter: evaluation of trophic status and relations with the zooplanktonic community,Acta Limnologica Brasiliensia,2024,journal,10.1590/S2179-975X8322,https://doi.org/10.1590/S2179-975X8322,
14,"Arhonditsis, G., Blanco, J.A., Wang, H.H., Neuman, A., Arnillas, C.A., Fath, B.D.",Ecological models for tomorrow’s solutions,Ecological Modelling,2025,journal,10.1016/j.ecolmodel.2025.111158,https://doi.org/10.1016/j.ecolmodel.2025.111158,
14,"Adhurya, S., Ray, S.",Scenario analysis with a simulation model of the effect of waterbirds on phosphorus dynamics of a shallow freshwater ecosystem,Environmental Challenges,2022,journal,10.1016/j.envc.2022.100618,https://doi.org/10.1016/j.envc.2022.100618,
14,"Bannerjee, A., Fath, B.D., Scharler, U.M., Ray, S.",Ecological Modeling in Environmental Management: History and Applications,Treatise on Estuarine and Coastal Science (Second Edition),2024,book chapter,10.1016/B978-0-323-90798-9.00097-4,https://doi.org/10.1016/B978-0-323-90798-9.00097-4,
14,"Adhurya, S.","Guanotrophication by aquatic avifauna on the dynamics of freshwater ecosystem of Ballavpur, India: a modelling approach",Visva-Bharati University,2022,Thesis,10.13140/RG.2.2.32145.51041,https://doi.org/10.13140/RG.2.2.32145.51041,
15,"Warner, B.H., Weiss, K.C., Allen, M.L.","Color aberration in malachite kingfishers: Insights from community science observations in Queen Elizabeth National Park, Uganda",Ecology and Evolution,2024,journal,10.1002/ece3.11717,https://doi.org/10.1002/ece3.11717,
15,"Gorman, G.","Observation of a Middle Spotted Woodpecker Dendrocoptes medius with aberrant, brown-coloured plumage",Ornis Hungarica,2024,journal,10.2478/orhu-2024-0017,https://doi.org/10.2478/orhu-2024-0017,
15,"Pradhan, N., Shrestha, M.B.",Records of avian deformities in Nepal,Ornis Hungarica,2023,journal,10.2478/orhu-2023-0026,https://doi.org/10.2478/orhu-2023-0026,
15,"Alby, M.J., Ashwin, C.P., Arjun, M.S.","A photographic record of partial leucism in Greater Coucal Centropus sinensis (Stephens, 1815)(Cuculiformes: Cuculidae) from Chhattisgarh, India",Ornis Hungarica,2023,journal,10.2478/orhu-2023-0013,https://doi.org/10.2478/orhu-2023-0013,
16,"Saha, P., Hazra, P.","A natural disaster in Sikkim caused a significant decline in avifaunal abundance in two important wetlands of North Bengal, India",Journal of Animal Diversity,2024,journal,NA,https://jad.lu.ac.ir/article_726421.html,
16,"Rather, H.A., Gautam, V.","A study of winter avifaunal diversity in Upper Lake, in the City of Bhopal, Madhya Pradesh, India",Journal of Animal Diversity,2023,journal,10.22034/JAD.2023.5.4.5,https://doi.org/10.22034/JAD.2023.5.4.5,
